symbol,entry_time,entry_price,direction,exit_time,exit_price,exit_reason,R_outcome
ARBUSDT,2026-01-04T02:15:00+00:00,0.211,LONG,2026-01-04T06:30:00+00:00,0.20929037587073362,SL,-1.0
LINKUSDT,2026-01-04T03:00:00+00:00,13.364,LONG,2026-01-04T06:30:00+00:00,13.287394431444795,SL,-1.0
UNIUSDT,2026-01-04T03:00:00+00:00,5.957,LONG,2026-01-04T03:30:00+00:00,5.919188728420638,SL,-1.0
AVAXUSDT,2026-01-04T03:30:00+00:00,14.004,LONG,2026-01-04T06:30:00+00:00,14.004,TP1,0.75
NEARUSDT,2026-01-04T03:30:00+00:00,1.7125,LONG,2026-01-04T06:15:00+00:00,1.6994013843543985,SL,-1.0
SOLUSDT,2026-01-04T03:30:00+00:00,134.12,LONG,2026-01-04T06:30:00+00:00,134.12,TP1,0.75
DOTUSDT,2026-01-04T04:00:00+00:00,2.1341,LONG,2026-01-04T06:30:00+00:00,2.1341,TP1,0.75
INJUSDT,2026-01-04T07:30:00+00:00,4.993,LONG,2026-01-04T13:45:00+00:00,5.138348768457203,TP2,2.0
APTUSDT,2026-01-04T11:15:00+00:00,1.909,LONG,2026-01-04T13:00:00+00:00,1.909,TP1,0.75
LTCUSDT,2026-01-04T16:15:00+00:00,82.74,LONG,2026-01-04T18:15:00+00:00,82.40257405231378,SL,-1.0
XRPUSDT,2026-01-04T19:45:00+00:00,2.0836,LONG,2026-01-04T22:30:00+00:00,2.0836,TP1,0.75
BNBUSDT,2026-01-05T15:30:00+00:00,905.2,LONG,2026-01-06T00:30:00+00:00,905.2,TP1,0.75
ADAUSDT,2026-01-05T21:30:00+00:00,0.4208,LONG,2026-01-06T06:15:00+00:00,0.4208,TP1,0.75
APTUSDT,2026-01-05T21:30:00+00:00,1.949,LONG,2026-01-06T00:15:00+00:00,1.949,TP1,0.75
DOGEUSDT,2026-01-05T21:30:00+00:00,0.15191,LONG,2026-01-06T00:00:00+00:00,0.1508070307566828,SL,-1.0
DOTUSDT,2026-01-05T21:30:00+00:00,2.2084,LONG,2026-01-05T22:45:00+00:00,2.2084,TP1,0.75
OPUSDT,2026-01-05T21:30:00+00:00,0.3283,LONG,2026-01-06T00:00:00+00:00,0.3283,TP1,0.75
INJUSDT,2026-01-05T22:00:00+00:00,5.409,LONG,2026-01-06T00:30:00+00:00,5.322956323402111,SL,-1.0
TIAUSDT,2026-01-05T22:00:00+00:00,0.5935,LONG,2026-01-06T00:00:00+00:00,0.5845816446519151,SL,-1.0
LINKUSDT,2026-01-06T00:15:00+00:00,13.88,LONG,2026-01-06T00:30:00+00:00,13.751370294629734,SL,-1.0
XRPUSDT,2026-01-06T00:15:00+00:00,2.3582,LONG,2026-01-06T16:15:00+00:00,2.2904297551692996,SL,-1.0
AVAXUSDT,2026-01-06T00:45:00+00:00,14.482,LONG,2026-01-06T02:45:00+00:00,14.26226873479077,SL,-1.0
LTCUSDT,2026-01-06T02:15:00+00:00,83.62,LONG,2026-01-06T07:15:00+00:00,83.14817686039201,SL,-1.0
ATOMUSDT,2026-01-06T03:00:00+00:00,2.38,LONG,2026-01-06T05:30:00+00:00,2.38,TP1,0.75
ADAUSDT,2026-01-06T23:00:00+00:00,0.4193,LONG,2026-01-07T00:30:00+00:00,0.41541714961333015,SL,-1.0
BTCUSDT,2026-01-06T23:00:00+00:00,93440.0,LONG,2026-01-07T00:45:00+00:00,92928.55965545356,SL,-1.0
ARBUSDT,2026-01-06T23:45:00+00:00,0.2222,LONG,2026-01-07T00:30:00+00:00,0.21993697890231265,SL,-1.0
APTUSDT,2026-01-07T02:30:00+00:00,1.924,LONG,2026-01-07T04:30:00+00:00,1.9094801542284328,SL,-1.0
LTCUSDT,2026-01-07T04:00:00+00:00,83.41,LONG,2026-01-07T05:00:00+00:00,82.94875520124575,SL,-1.0
TIAUSDT,2026-01-07T05:00:00+00:00,0.5781,LONG,2026-01-07T07:15:00+00:00,0.5908843295118154,TP2,2.0
INJUSDT,2026-01-07T05:30:00+00:00,5.476,LONG,2026-01-07T05:45:00+00:00,5.436461028576353,SL,-1.0
NEARUSDT,2026-01-07T05:30:00+00:00,1.7699,LONG,2026-01-07T09:30:00+00:00,1.7699,TP1,0.75
